P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
3.7045,-1.2122,-3.9975,-4.797,3.828,-1.7746,8.0615,1.7591,4.2758,1.2581,-2.6602,2.6403,-1.2043,-0.34416,-0.062711,1.8423,1.773,-1.6789,0.52606,-3.6519,1.362,-2.015,-3.0437,2.1811,-5.6292,3.7439,3.7241,0.56417,3.675,3.8468,5.6772,0.26619,2.1214,-0.18414,-3.1148,-1.3429,10.21,1.8723,2.2446,4.9806,2.4071,2.9378,1.2585,-2.2673,-5.5765,4.6029,-3.0007,-1.1578,-4.7469,4.2795,-2.0209,6.4852,3.1332,-5.6456,-2.8172,-1.016,1.5674,1.1979,0.96596,0.57486,6.2437,0.71179,0.16202,-0.56239,4.6557,3.0955,-0.31909,-3.764,-4.5437,2.5174,-2.003,0.23358
4.5778,-1.1164,-4.0219,-3.906,3.8939,-2.1739,8.4123,1.7075,4.5641,1.1317,-2.5198,2.7298,-1.8454,0.27049,-0.48761,1.2166,1.255,-1.4342,0.71246,-3.8833,0.37148,-2.5208,-3.1557,2.0036,-5.6309,4.3224,3.7127,0.20011,3.4281,5.2228,6.4073,0.048772,1.4967,-0.69869,-3.9033,-2.1816,11.024,1.3482,2.3381,5.5444,2.4074,3.0084,1.6926,-2.5559,-5.9484,5.0542,-4.4703,-1.3489,-5.5761,5.0773,-2.9648,7.3046,4.0643,-5.6686,-3.1731,-0.45421,1.0425,0.77612,0.52818,0.085894,7.3238,1.8664,0.60059,-0.34653,4.8862,3.5057,-0.99403,-4.7116,-4.5204,2.8925,-2.6243,-0.43843
4.9118,-1.142,-4.2254,-5.8,4.5694,-1.7467,9.1688,2.549,4.2657,1.5928,-2.9735,3.1122,-1.4538,-0.45356,-0.45405,0.37799,1.3333,-1.7765,0.82712,-4.297,0.51024,-2.7089,-2.7864,2.13,-6.3667,4.7698,4.1253,-0.5074,3.9552,4.9649,7.1444,0.67296,2.0783,0.17518,-4.0689,-1.8347,11.347,1.7568,2.5604,5.6211,2.7244,3.4263,0.68348,-3.0668,-5.7133,5.3091,-4.0573,-2.1774,-5.8721,5.4052,-3.1183,7.3039,3.9856,-6.5976,-2.7193,-0.7517,0.52422,0.82417,1.2298,0.23891,7.4147,1.9351,0.68807,-0.26567,4.5657,2.6339,-0.29065,-4.4119,-5.4394,3.1112,-2.3738,-0.75258
4.3804,-1.4532,-5.4587,-4.6095,4.1871,-1.7981,10.153,2.1479,3.9042,0.74187,-2.7185,2.741,-2.1093,-0.74151,-0.64272,0.86698,1.6553,-1.9906,0.71476,-3.8693,0.74869,-2.5877,-3.0921,1.4173,-7.0871,5.4527,4.8778,0.99825,4.0558,4.9042,8.0014,0.89402,1.3816,-0.63873,-4.2201,-1.8585,11.918,1.6346,3.7781,6.1516,2.7709,4.2045,1.8501,-3.3263,-6.3869,5.0758,-4.5644,-1.8355,-5.7816,5.8813,-3.6254,8.1998,3.8834,-6.4687,-3.4395,-0.86122,0.39191,0.41619,1.3059,0.33996,8.6066,2.0459,0.93892,-0.74287,4.7086,2.3034,-0.23385,-4.9298,-5.4991,3.0506,-2.361,-0.75401
5.8052,-1.5613,-5.4896,-5.5686,4.2457,-1.7342,9.4847,2.5386,4.8827,2.1497,-3.0741,2.8933,-1.9957,-0.59954,-0.71931,0.69269,1.9238,-2.1791,0.28586,-4.1637,0.75745,-3.5949,-2.3109,1.6633,-7.1107,5.8157,4.8893,0.10507,4.701,5.1089,8.494,1.3774,1.122,-1.6041,-4.8832,-2.7214,13.167,1.4576,4.0302,6.5048,3.0641,4.3242,1.5578,-3.7607,-5.8519,4.9063,-4.0755,-2.426,-5.8896,5.7766,-3.8035,9.2586,3.9075,-6.8523,-3.0528,-1.5161,0.67355,0.78427,1.8293,-0.70179,8.9179,1.3943,0.77683,-0.71475,4.6352,3.1987,-0.66439,-5.6225,-6.5687,3.3573,-2.2551,-1.2557
5.5529,-1.7951,-5.8823,-5.6375,4.4512,-1.5647,10.204,2.1085,4.5863,1.2161,-3.4277,2.7897,-2.4951,-0.63273,-0.80357,0.75725,1.7844,-2.0201,-0.25106,-4.7048,0.082331,-3.3085,-2.5322,1.3345,-7.2036,5.8103,4.838,-0.42617,5.0339,4.811,8.8858,1.7123,1.028,-1.3072,-4.1275,-3.6309,14.067,1.6712,4.086,7.0358,3.1087,5.6075,1.2339,-4.3601,-6.571,5.0811,-3.8196,-2.6141,-6.2553,5.6234,-4.1059,9.4364,4.3891,-7.3358,-3.5265,-1.5994,-0.6351,0.54345,1.8312,-0.18152,8.7995,2.6393,2.4932,-0.5649,4.6158,3.4074,-0.74936,-6.5011,-6.0638,3.0632,-2.3428,-1.4049
6.2828,-1.7906,-6.444,-6.0504,4.0565,-1.1704,10.791,2.9363,5.1317,2.3126,-3.3906,3.3272,-3.2434,-1.2214,-0.69133,0.36972,2.0746,-1.9749,-0.14479,-4.4734,0.75679,-3.9236,-2.519,2.3282,-7.6888,5.8927,4.9614,0.24699,5.1739,4.2525,9.0887,1.9162,2.337,-1.1995,-4.6142,-3.4433,13.973,1.8843,4.4769,7.3982,3.1746,5.6163,0.81855,-3.4932,-7.0291,5.1649,-3.8266,-2.6287,-6.3068,6.1268,-3.5418,10.574,3.9675,-7.7882,-4.643,-1.3294,-0.61403,0.39793,1.8261,-0.30262,10.199,2.1826,2.5256,-0.0040102,4.357,2.5697,-0.97618,-7.0494,-5.8017,3.3679,-1.5745,-1.4426
6.8935,-1.579,-7.1972,-6.033,4.1064,-1.0399,10.875,2.161,5.703,2.1201,-3.0738,3.0265,-2.6936,-0.54671,-1.1639,0.46773,3.0242,-2.0387,-0.45704,-4.3727,0.25767,-3.5623,-2.5189,1.5651,-7.862,6.388,5.1448,0.4539,5.8826,4.6158,9.2596,1.5457,1.0027,-1.6835,-5.6685,-3.9369,14.886,2.2381,4.2976,8.6919,3.2696,6.544,0.894,-4.5506,-7.2916,5.5014,-4.1555,-2.7545,-6.6919,6.5315,-4.1887,11.626,3.3605,-7.5714,-4.5493,-0.8227,-0.68572,-0.17439,2.3005,-0.63246,10.276,2.1974,1.6598,-0.33211,4.5512,3.0016,-1.0219,-6.9682,-6.7921,2.9453,-1.8098,-1.3833
6.7232,-1.7674,-8.6246,-7.6512,4.1582,-1.1511,11.218,3.1326,6.303,2.858,-3.5601,3.1872,-3.0732,-0.78194,-1.022,-0.24569,2.287,-2.3701,-0.053344,-5.0591,0.6065,-4.1666,-3.117,1.7345,-8.1147,6.4526,4.4966,-0.035431,5.7042,4.2491,10.186,1.9451,1.0889,-1.7881,-5.9052,-5.0257,14.762,1.8205,4.558,8.5808,3.549,6.9172,0.49513,-4.7126,-7.4232,5.2698,-4.3033,-3.1651,-6.7289,6.7481,-4.345,12.174,3.0964,-8.9287,-4.8033,-1.4101,-0.24847,-0.23519,2.6738,-0.34035,11.269,2.1969,2.2186,0.0032748,3.6481,3.525,-1.5708,-7.1402,-6.6857,3.1484,-1.6572,-2.0197
7.989,-1.9522,-8.4889,-6.7436,4.6332,-1.5078,11.219,2.7221,5.4515,3.3302,-2.8997,3.6007,-3.4606,-0.67015,-0.81797,-0.11179,3.6136,-1.9726,-1.0568,-4.9402,0.2616,-4.6678,-2.9872,2.3432,-8.7493,6.9117,5.4752,-0.13555,7.2802,4.6136,11.471,1.836,0.43213,-1.726,-5.3173,-5.1293,15.584,2.0702,4.821,9.1595,3.9508,7.1189,0.82525,-4.3179,-7.109,5.0486,-4.1204,-2.7985,-7.5929,6.6865,-4.7342,13.514,3.6188,-8.9459,-5.1766,-1.8927,-0.64823,-0.50215,2.5421,-0.45472,11.31,3.2471,2.1701,0.19931,3.7113,3.3063,-1.159,-7.7676,-6.9236,3.8066,-2.3375,-1.9947
