P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72
-43.179,-27.433,2.7127,36.275,39.148,38.046,54.563,-2.2995,-1.4461,33.028,-16.608,-20.372,-40.894,-4.4105,-58.484,44.106,36.442,60.079,-9.4862,-2.5221,-8.2913,45.55,-3.4558,29.341,-44.779,-65.91,19.292,45.752,-16.473,-3.6384,50.059,38.257,52.37,22.768,26.003,-23.21,-19.968,13.383,2.5003,-23.467,-49.54,22.431,82.731,54.563,20.515,24.575,16.668,-9.3667,45.882,-54.745,15.529,-47.187,30.339,-85.551,-6.054,13.241,-16.096,-41.678,-79.437,46.958,-1.8886,37.016,-22.851,33.877,38.469,24.835,-10.495,43.326,3.9698,21.73,5.132,-47.445
-43.464,-27.665,2.2714,36.069,39.802,37.78,54.534,-2.4027,-1.1522,33.09,-17.087,-20.441,-41.032,-4.7889,-59.205,44.384,36.624,60.007,-9.9908,-2.4267,-8.6661,45.227,-3.4633,29.325,-44.992,-66.564,19.407,46.034,-16.407,-4.1339,49.803,38.5,52.617,23.528,25.91,-23.49,-20.497,13.209,2.7247,-23.232,-49.97,21.907,82.713,54.534,20.748,24.845,16.398,-9.3114,45.712,-55.039,15.115,-47.45,30.938,-85.488,-6.0559,13.507,-16.744,-42.067,-79.556,47.502,-1.8444,36.943,-22.828,33.811,38.96,24.723,-11.272,43.916,3.8368,21.417,4.7628,-48.03
-43.727,-27.848,1.8268,35.926,40.372,37.655,54.477,-2.3688,-0.89628,33.179,-17.642,-20.534,-41.162,-5.1433,-59.882,44.578,36.809,59.817,-10.447,-2.3795,-9.0186,44.945,-3.4928,29.437,-45.284,-67.18,19.493,46.289,-16.372,-4.6634,49.596,38.712,52.96,24.256,25.898,-23.709,-20.936,13.041,2.9632,-22.883,-50.366,21.442,82.687,54.477,21.022,25.183,16.179,-9.28,45.475,-55.274,14.651,-47.681,31.614,-85.432,-6.1536,13.748,-17.474,-42.446,-79.74,48.011,-1.8007,36.858,-22.869,33.805,39.442,24.667,-11.986,44.439,3.6936,21.136,4.305,-48.46
-44.011,-28.006,1.4351,35.686,40.892,37.506,54.351,-2.4269,-0.73506,33.331,-18.032,-20.651,-41.273,-5.6051,-60.438,44.837,37.006,59.633,-10.902,-2.3573,-9.4,44.573,-3.559,29.559,-45.536,-67.694,19.537,46.474,-16.382,-5.125,49.24,38.807,53.237,25.001,25.878,-24.014,-21.381,12.883,3.1821,-22.597,-50.827,21.036,82.544,54.351,21.31,25.47,15.889,-9.3587,45.112,-55.53,14.205,-47.974,32.214,-85.322,-6.1871,13.877,-18.234,-42.906,-79.95,48.376,-1.7581,36.794,-22.953,33.948,39.909,24.549,-12.764,44.912,3.5391,20.97,3.7939,-48.963
-44.267,-27.968,0.95922,35.511,41.364,37.307,54.322,-2.4531,-0.53779,33.454,-18.33,-20.612,-41.315,-6.1048,-60.899,45.107,37.152,59.413,-11.268,-2.3006,-9.7616,44.097,-3.764,29.777,-45.755,-68.227,19.642,46.639,-16.276,-5.6076,48.871,38.982,53.467,25.68,25.863,-24.078,-21.828,12.757,3.4046,-22.379,-51.343,20.559,82.31,54.322,21.639,25.722,15.549,-9.4678,44.857,-55.588,13.79,-48.158,32.776,-85.111,-6.0525,13.981,-18.971,-43.34,-80.12,48.569,-1.7459,36.829,-23.051,34.034,40.243,24.504,-13.62,45.448,3.4622,20.839,3.27,-49.36
-44.328,-27.931,0.50339,35.299,41.824,37.184,54.294,-2.4569,-0.20266,33.477,-18.625,-20.565,-41.395,-6.5354,-61.286,45.349,37.219,59.146,-11.664,-2.2648,-10.123,43.683,-3.8567,29.977,-45.987,-68.693,19.712,46.858,-16.224,-6.1077,48.302,39.055,53.77,26.309,25.806,-24.09,-22.151,12.658,3.501,-22.195,-51.833,20.163,82.066,54.294,21.967,25.874,15.215,-9.561,44.584,-55.715,13.35,-48.246,33.278,-84.885,-5.9482,14.024,-19.692,-43.689,-80.286,48.793,-1.7203,36.869,-23.124,34.184,40.544,24.613,-14.431,46.077,3.4552,20.659,2.8557,-49.703
-44.524,-27.943,0.081064,35.049,42.162,36.974,54.269,-2.4571,0.19121,33.416,-18.924,-20.542,-41.493,-7.0126,-61.598,45.575,37.308,58.877,-12.069,-2.3161,-10.609,43.199,-3.8664,30.172,-46.161,-69.071,19.764,47.134,-16.203,-6.6177,47.828,39.09,54.171,26.981,25.761,-24.049,-22.578,12.481,3.6824,-21.945,-52.34,19.826,81.892,54.269,22.194,26.132,14.842,-9.7277,44.322,-56.024,12.98,-48.309,33.854,-84.807,-5.8656,14.053,-20.48,-44.004,-80.498,49.004,-1.6417,36.965,-23.233,34.278,40.719,24.686,-15.174,46.717,3.4137,20.549,2.3641,-50.059
-44.733,-28.122,-0.43384,34.857,42.38,36.745,54.217,-2.4341,0.5052,33.381,-19.296,-20.468,-41.555,-7.5051,-62.034,45.673,37.44,58.618,-12.559,-2.4559,-11.114,42.874,-3.8552,30.283,-46.392,-69.448,19.793,47.317,-16.129,-7.0525,47.413,39.127,54.631,27.626,25.738,-24.001,-22.909,12.226,3.9216,-21.657,-52.966,19.513,81.813,54.217,22.358,26.48,14.555,-9.9314,44.025,-56.305,12.69,-48.383,34.433,-84.612,-5.6591,14.066,-21.209,-44.353,-80.656,49.221,-1.687,37.095,-23.388,34.35,40.774,24.785,-15.976,47.221,3.3649,20.482,1.8586,-50.552
-44.924,-28.174,-0.98019,34.739,42.587,36.447,54.132,-2.4758,0.78051,33.46,-19.71,-20.407,-41.567,-8.0134,-62.49,45.746,37.61,58.384,-13.115,-2.5722,-11.655,42.468,-3.8909,30.427,-46.656,-69.732,19.924,47.43,-16.102,-7.5805,46.956,39.082,55.035,28.253,25.772,-24.002,-23.235,12.071,4.0368,-21.347,-53.528,19.081,81.746,54.132,22.652,26.833,14.192,-10.194,43.639,-56.617,12.407,-48.368,35.002,-84.466,-5.5094,14.093,-21.861,-44.58,-80.901,49.403,-1.7282,37.128,-23.499,34.394,40.78,24.875,-16.676,47.672,3.2727,20.419,1.3974,-51.125
-45.002,-28.212,-1.5618,34.634,42.931,36.156,54.009,-2.6094,1.0392,33.481,-20.106,-20.398,-41.56,-8.6465,-62.886,45.706,37.804,58.068,-13.646,-2.6463,-12.217,42.154,-3.8417,30.565,-46.922,-69.976,20.005,47.601,-16.115,-8.0802,46.473,39.004,55.474,28.814,25.933,-23.976,-23.495,11.81,4.1252,-21.048,-54.064,18.618,81.646,54.009,22.834,27.144,13.922,-10.394,43.304,-57.061,12.155,-48.333,35.451,-84.244,-5.4061,14.176,-22.442,-44.816,-81.153,49.603,-1.7516,37.108,-23.555,34.416,40.795,24.955,-17.337,48.081,3.1617,20.31,0.89427,-51.677
